,0
0,0.7380051835994395
1,0.8452061672925733
2,0.9233725305573964
3,1.5566832343748203
4,1.8507817445151686
5,2.220547871035184
6,2.72088932609845
7,2.9452968549606804
8,4.142324308515844
9,5.30915835024897
10,5.379872904328168
11,5.76995376958513
12,5.770351946017738
13,8.192265455095104
14,8.75685926045776
15,8.850350717034663
16,9.194610643701186
17,10.08332546049405
18,10.16163366018592
19,10.369062605129042
20,10.435446678001899
21,10.761926402096634
22,11.449146661575934
23,12.076191847252163
24,12.806479747938083
25,12.959432801061228
26,12.996084616794205
27,14.905831034250182
28,15.466141942502759
29,15.778662431614636
30,15.778770447970938
31,15.886958357052979
32,17.11330923291783
33,17.119388864878164
34,17.511486147489727
35,17.748993672686037
36,18.141807560933895
37,18.154948969163588
38,18.295540135531578
39,18.295734184569913
40,18.310504822798322
41,18.917308007131677
42,18.917749259700546
43,19.760144143423958
44,21.515345621591024
45,21.553364610435683
46,21.796143371148595
47,21.827521614152253
48,22.011974581310316
49,22.10688315464432
50,22.678407637629807
51,22.753383974359537
52,23.82326236101097
53,25.371470324070103
54,25.402532461685844
55,25.5623216167035
56,25.955628222521106
57,26.64756223356567
58,26.881319714989573
59,27.066442503659008
60,27.18910321450612
61,28.2146829559019
62,28.59926868272783
63,28.933400621108525
64,29.07645277505458
65,29.124099765428717
66,29.17622124720049
67,29.365606652308653
68,29.3993977342364
69,29.40949090118492
70,29.67046498707234
71,29.803814328303545
72,31.03186562888813
73,31.03258438840006
74,31.129789283025996
75,31.185162084306995
76,31.456854076653567
77,31.469902346353198
78,31.527821179281464
79,31.672833631799023
80,31.909889380364362
81,32.215071788769635
82,32.36774319861183
83,32.408261211494334
84,32.43369752646579
85,32.65780370475008
86,32.80273605349293
87,32.92958300602107
88,33.015911608228805
89,33.0633492660896
90,33.21235005524442
91,33.346410774089364
92,33.42655536198175
93,33.55972959602285
94,33.94916002064728
95,34.14795212932698
96,34.299061142135486
97,35.92156091547384
98,38.59771221499687
99,38.67698111047243
100,39.93839910422117
101,40.31423827051014
102,41.72989555056525
103,42.39812354076967
104,42.58815922405329
105,43.44957499150348
106,43.817575930779384
107,43.83818865293225
108,44.26459439108024
109,44.492441565024286
110,44.770961354387914
111,45.39658752522363
112,45.444680114718324
113,45.46562918174745
114,45.95905907357109
115,46.32823690945628
116,46.48065906953441
117,46.61504434272107
118,47.39854636185959
119,48.320124925279025
120,48.49190632984485
121,49.971614810132266
122,50.14303179268382
123,52.27780133876422
124,56.03187547797202
125,58.10365854142378
126,58.228634708082296
127,58.79713020775765
128,59.06357037609088
129,61.533857758377465
130,62.37824415822643
131,62.63583150227762
132,63.110688669463066
133,63.24688863096552
134,63.260284399082295
135,63.749267715398624
136,63.858198168292176
137,63.93061942003654
138,64.29886258961784
139,64.67411580882599
140,64.70498054026568
141,66.46223626570213
142,66.49258217996488
143,68.90266006111202
144,69.18836721343823
145,69.35903386560375
146,71.92214572804876
147,72.3576761945592
148,73.43069905118173
149,73.74759278977025
150,75.67520481160805
151,75.94142907216407
152,76.09307175060945
153,76.89059130058395
154,77.08054206612586
155,77.16840693755904
156,77.68229169311876
157,78.71667775914469
158,78.88535858233476
159,79.41187595963183
160,79.51019090201909
161,79.57016077346762
162,79.6324676795084
163,79.73526914650594
164,79.74433679202006
165,80.49875176169168
166,81.35745344919128
167,81.56381256703804
168,81.92584516246777
169,82.4896243848524
170,82.56249118705321
171,82.56408216864502
172,82.583044454809
173,82.60553753805816
174,82.68658995461068
175,82.72995105715198
176,82.73569898966448
177,82.84743801133145
178,82.96357038358877
179,83.66937767136247
180,83.71571638547199
181,83.91615465596665
182,84.0792647774623
183,84.33169003874863
184,84.40576323243123
185,84.47749590192026
186,84.83518578087316
187,85.33996294406997
188,85.67721928261042
189,85.99942451273621
190,86.32573864835481
191,86.33823313087882
192,86.3968252293043
193,86.41889223311854
194,88.42602852284094
195,88.89988824759911
196,89.12419506398653
197,89.54046974933006
198,89.91377004314218
199,89.99350999026815
200,90.07597499305346
201,90.48040062574185
202,90.85037479335695
203,90.8612611363622
204,91.06508790847144
205,91.69858603471688
206,92.56447501905059
207,93.7261587647614
208,94.29569405891704
209,94.297215440402
210,96.95021617980841
211,97.76627842745904
212,98.08965207744372
213,98.90629245845557
